frame_index,sample_time_s,mission_elapsed_time_s,met_raw_text,met_parse_status,met_raw_unit,met_raw_value,met_si_value,met_variant,stage1_velocity_raw_text,stage1_velocity_parse_status,stage1_velocity_raw_unit,stage1_velocity_raw_value,stage1_velocity_si_value,stage1_velocity_variant,stage1_altitude_raw_text,stage1_altitude_parse_status,stage1_altitude_raw_unit,stage1_altitude_raw_value,stage1_altitude_si_value,stage1_altitude_variant,stage2_velocity_raw_text,stage2_velocity_parse_status,stage2_velocity_raw_unit,stage2_velocity_raw_value,stage2_velocity_si_value,stage2_velocity_variant,stage2_altitude_raw_text,stage2_altitude_parse_status,stage2_altitude_raw_unit,stage2_altitude_raw_value,stage2_altitude_si_value,stage2_altitude_variant
5395,90.00721739471093,85.0,MAXQ T+00:01:25 STAGE2 VELOCITY,parsed,s,85.0,85.0,raw,"NEW GLENN 000,771 NEW GLENN MPH VELOCITY ALTITUDE",parsed,MPH,771.0,344.66784,raw,"LIFTOFF 031,108 FT",parsed,FT,31108.0,9481.7184,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
5514,91.99254804716146,88.0,T+00:01:28 STAGE2 VELOCITY,parsed,s,88.0,88.0,raw,"NEW GLENN 000,813 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,813.0,363.44352,raw,"LIFTOFF 033,368 FT",parsed,FT,33368.0,10170.5664,raw,"STAGE2 000,000 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
5634,93.99456215047293,89.0,T+00:01:29 STAGE2 VELOCITY,parsed,s,89.0,89.0,raw,"NEW GLENN 000,848 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,848.0,379.08992,raw,"LIFTOFF 035,010 FT",parsed,FT,35010.0,10671.048,raw,"STAGE2 000,000 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
5754,95.99657625378438,91.0,MAXO T+00:01:31 STAGE2 VELOCITY,parsed,s,91.0,91.0,raw,NEW GLENN 688'000 NEW GLENN VELOCITY MPH ALTITUDE,parsed,MPH,688.0,307.56352,raw,"LIFTOFF 037,195 FT",parsed,FT,37195.0,11337.036,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000",parsed,MI,0.0,0.0,raw
5874,97.99859035709584,94.0,T+00:01:34 STAGE2 VELOCITY,parsed,s,94.0,94.0,raw,586'000 NEW GLENN NEW GLENN VELOCITY MPH ALTITUDE,parsed,MPH,586.0,261.96544,raw,"LIFTOFF 039,722 FT",parsed,FT,39722.0,12107.2656,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
5994,100.0006044604073,95.0,MAXQ T+00:01:35 STAGE2 VELOCITY,parsed,s,95.0,95.0,raw,"LIFTOFF NEW GLENN 000,974 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,974.0,435.41696,raw,"041,555 FT",parsed,FT,41555.0,12665.964,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
6114,102.00261856371876,97.0,MAXQ T+00:01:37 STAGE2 VELOCITY,parsed,s,97.0,97.0,raw,LIFTOFF NEW GLENN 610'000 NEW GLENN VELOCITY MPH ALTITUDE,parsed,MPH,610.0,272.6944,raw,"043,991 FT",parsed,FT,43991.0,13408.4568,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000",parsed,MI,0.0,0.0,raw
6234,104.00463266703022,100.0,MAXQ T+00:01:40 STAGE2 VELOCITY,parsed,s,100.0,100.0,raw,"NEW GLENN 001,071 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,1071.0,478.77984,raw,"046,801 FT",parsed,FT,46801.0,14264.944800000001,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000",parsed,MI,0.0,0.0,raw
6354,106.00664677034167,101.0,MAXQ T+00:01:41 STAGE2 VELOCITY,parsed,s,101.0,101.0,raw,"001,115 NEW GLENN NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,1115.0,498.4496,raw,"049,129 FT",parsed,FT,49129.0,14974.5192,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000",parsed,MI,0.0,0.0,raw
6473,107.9919774227922,104.0,MAXQ T+00:01:44 STAGE2 VELOCITY,parsed,s,104.0,104.0,raw,"FTOFF NEW GLENN 001,170 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,1170.0,523.0368,raw,"051,832 FT",parsed,FT,51832.0,15798.393600000001,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000",parsed,MI,0.0,0.0,raw
6593,109.99399152610366,105.0,MAXQ T+00:01:45 STAGE2 VELOCITY,parsed,s,105.0,105.0,raw,"NEW GLENN 001,217 NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,1217.0,544.04768,raw,"054,312 FT",parsed,FT,54312.0,16554.2976,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000 FT",parsed,FT,0.0,0.0,raw
6713,111.99600562941512,108.0,T+00:01:48 STAGE2 VELOCITY,parsed,s,108.0,108.0,raw,"001,276 NEW GLENN NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,1276.0,570.42304,raw,"MAXQ 057,191 FT",parsed,FT,57191.0,17431.8168,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000",parsed,MI,0.0,0.0,raw
6833,113.99801973272658,110.0,T+00:01:50 STAGE2 VELOCITY,parsed,s,110.0,110.0,raw,"001,332 NEW GLENN NEW GLENN VELOCITY MPH ALTITUDE",parsed,MPH,1332.0,595.45728,raw,"MAXQ 060,163 FT",parsed,FT,60163.0,18337.6824,raw,"000,000 STAGE2 MPH ALTITUDE",parsed,MPH,0.0,0.0,raw,"000,000",parsed,MI,0.0,0.0,raw
